Date,PC1,PC2,cluster,is_outlier,anomaly_score,Bitcoin_next_return
2018-11-09,-2.072370771404569,-3.020696477523882,1,0,0.09630441328245204,-0.002249780872174867
2018-11-12,-2.6487602690188004,-3.7596552021665373,1,0,0.08239066947633206,-0.0018506025222677636
2018-11-13,-4.008341277173173,-2.2875455047479707,0,0,0.061432639160628355,-0.10277649273173672
2018-11-14,-5.849855566842535,-0.8225054497456659,0,0,0.06367004894591888,-0.01586495582727565
2018-11-15,-5.0287228533853074,-1.1684565962050841,0,0,0.07419263022796191,-0.01291584159438841
2018-11-16,-4.223137282286424,-0.062389184398414586,0,0,0.06434071465289454,-0.13499103892158182
2018-11-19,-6.625349493588344,0.8456049740042796,0,0,0.03570510474902511,-0.09007563428611043
2018-11-20,-9.439606122296198,1.2784558849926846,0,0,0.01453137736622806,0.03320365546509585
2018-11-21,-7.231786841312276,1.2869647553254429,0,0,0.033323206734433064,-0.05701668937195947
2018-11-23,-10.2144004821757,2.403824324521603,0,0,0.010830953123648901,-0.14001743164228309
2018-11-26,-11.633402116253151,1.701829387429378,0,0,0.005750176223940084,0.010945085463911042
2018-11-27,-10.321165408160274,0.7685471726090569,0,0,0.016617787871873235,0.10822444579237178
2018-11-28,-7.1881379164141705,3.2577454106338704,0,0,0.028464786760782568,0.005020181260203316
2018-11-29,-6.75958862032418,3.17462380542364,0,0,0.05022208674405909,-0.06308129823555753
2018-11-30,-7.639789569503515,1.3848561963380277,0,0,0.04580381707058934,-0.031131695910708856
2018-12-03,-6.115244310790642,2.2427991781429006,0,0,0.047400491739132855,0.015988811461090435
2018-12-04,-4.717824121868793,2.2968080319602286,0,0,0.07606911835525754,-0.11668536935118468
2018-12-06,-7.555658284462539,2.5649902981081274,0,0,0.03823925186465005,-0.02915174921548669
2018-12-07,-6.819944627764037,2.7877205837357213,0,0,0.047014282568019816,0.023899334858294097
2018-12-10,-6.763080351137361,2.5875075888950363,0,0,0.05423003267012655,-0.022540327664478
2018-12-11,-6.481755456382245,2.1094292901814353,0,0,0.05831015504030579,0.018046272769710825
2018-12-12,-5.086470700641069,3.088914480219914,0,0,0.06195724988139856,-0.050968961408146995
2018-12-13,-5.54258294182021,1.5022091885320137,0,0,0.05524521650758624,-0.0217185542488334
2018-12-14,-6.157731443698471,0.7774396504140939,0,0,0.0611537276978707,0.08944209528219105
2018-12-17,-3.755888230953445,2.6241286816730556,0,0,0.0651008202377013,0.04148507479473018
2018-12-18,-4.463264328765233,3.2546245329161203,0,0,0.05219945053363534,0.013408299801074719
2018-12-19,-3.449234458171799,2.809372691604709,0,0,0.07094205998896658,0.09867679132172569
2018-12-20,0.729489317519982,3.918775749445441,1,0,0.05875280037549818,-0.059262300440080296
2018-12-21,-2.38881392863424,3.619710969883592,0,0,0.05278017078667324,0.04566364705148551
2018-12-24,0.2271675741152223,5.6147567827409715,1,1,-0.00420778403080202,-0.05578674019702312
2018-12-26,-0.5147145977859704,5.148201044559206,1,0,0.023256649691371145,-0.05391629952715249
2018-12-27,-1.9366402781688719,5.904071835525674,0,0,0.028419127618344087,0.0710402860729289
2018-12-28,0.6703972100199233,5.135871351178099,1,0,0.021672477964263193,-0.04728342961910492
2018-12-31,-0.11799809971047402,5.091130944727666,1,0,0.03290587066297185,0.05223829160589233
2019-01-02,1.465919271561974,4.1277191234349,1,0,0.034929990670564626,-0.027422321806191974
2019-01-03,1.1436933680296117,4.248014026750348,1,0,0.056694132029008304,0.005452331614920425
2019-01-04,1.425299632643759,3.5021881942536788,1,0,0.06711688702602059,0.04251090124858692
2019-01-07,2.0210815062621488,2.8683031936568675,1,0,0.07040068180924364,0.001390154770684049
2019-01-08,1.9564186320715053,2.360374378547497,1,0,0.08524854696266121,0.0011030020343767433
2019-01-09,2.659233012897605,1.9437661585437334,1,0,0.07539182198812105,-0.09245928249298174
2019-01-10,-0.6001450782206803,2.1929719732285173,1,0,0.06373231352151365,0.0022917701090907627
2019-01-11,-0.4939988485770425,1.5457507954256635,1,0,0.07904753635610068,0.005054984870561441
2019-01-14,-0.8128078382047929,1.5758433257983195,1,0,0.0828342642083757,-0.020548563372546624
2019-01-15,-1.6321488725952622,1.027002547001349,0,0,0.07910053466597433,0.006679301401545601
2019-01-16,-1.2929097516989185,0.3366168050461565,1,0,0.0856773241270169,0.00642448558032882
2019-01-17,-0.9112504272391032,-0.4275516356391686,1,0,0.08478614649004845,-0.0056498160197318015
2019-01-18,-1.4753357583707205,-0.9065495591115984,1,0,0.09614480899986161,-0.014668165057360127
2019-01-22,-2.240937553151242,-1.473085611974504,0,0,0.10065231349588394,-0.005411671839448573
2019-01-23,-1.4363400820080496,-1.2439067433900097,1,0,0.10207184703044725,0.004381431105509037
2019-01-24,-2.1149323138629166,-2.856679904759271,1,0,0.10000727102291695,-0.0003054202695444985
2019-01-25,-0.03051036806651951,-0.18486758177992582,1,0,0.09750044109391687,-0.03658441182238725
2019-01-28,-0.7340893546639136,0.29745010214211964,1,0,0.09118420879292644,-0.006456126661070982
2019-01-29,-0.40994462228646283,-0.006355817501476352,1,0,0.09344415891595675,0.01097878297095356
2019-01-30,0.9165465997814554,0.5151263286733084,1,0,0.0951147563250006,-0.008176606850343049
2019-01-31,0.4671701049465369,0.46809455027418023,1,0,0.09342478337192361,0.008682382533651278
2019-02-01,0.43718071721074175,-0.6912400818575113,1,0,0.09339093318301428,-0.008288761421216151
2019-02-04,0.28779275027383544,-1.0607044944337953,1,0,0.09778213008166414,0.002080242524957754
2019-02-05,-0.22292467567909843,-1.409898289390158,1,0,0.10217392479544796,-0.015287693750092757
2019-02-06,-1.1691276169945242,-2.199650209573378,1,0,0.09664140453923264,-0.0041965833008426046
2019-02-07,-1.2879306519404323,-2.6117015300404613,1,0,0.09551556442441111,0.0756939360941562
2019-02-08,0.5261436680568036,-2.5629120221843547,1,0,0.08989840106648583,-0.00501684722919471
2019-02-11,0.05497083997872396,-2.910357548886827,1,0,0.09632451884669596,0.0013963105132095421
2019-02-12,0.6656080871887061,-2.4748987455948877,1,0,0.1042130043445138,-0.005890543660870051
2019-02-13,0.6585222302579692,-2.737856089794227,1,0,0.100900037669792,-0.004190873583171495
2019-02-14,0.42102675956612096,-3.055590845073086,1,0,0.10360313193992698,0.0010859628225894369
2019-02-15,1.5435679011763497,-2.6556002505800027,1,0,0.11084144448383476,0.08628175799766247
2019-02-19,4.522513608283069,-0.11863514648607629,1,0,0.08029414385431999,0.013269765098495867
2019-02-20,5.285546899512691,0.22524302315881717,1,0,0.08938655899940962,-0.01149189028232911
2019-02-21,3.8560165242502467,-0.13549961588231046,1,0,0.0830899559777985,0.012917451356472043
2019-02-22,4.887391172492197,0.07225143660394484,1,0,0.08363195122266176,-0.031145228196264085
2019-02-25,2.296269632831631,-0.2957094666865478,1,0,0.0977021258520846,-0.007325399279810796
2019-02-26,2.4490019580210984,-0.9225429601869529,1,0,0.1021211551882027,-0.0008592791582575643
2019-02-27,1.3933169621343013,-1.6439928894520066,1,0,0.11016172421802356,0.0009701838898461546
2019-02-28,1.292921791965144,-2.234175059799768,1,0,0.10914681923524339,0.0012440007407157339
2019-03-01,0.007745078298745408,-2.8137472569568143,1,0,0.1033198070103859,-0.02572633664225421
2019-03-04,-1.5021779206879862,-3.458571619727758,1,0,0.09752937186749144,0.035213632013155305
2019-03-05,-0.8978863243774403,-4.45061247894532,1,0,0.0828584273153386,0.001940338762940641
2019-03-06,-0.9378576165360348,-4.219610677282398,1,0,0.09542809187625784,0.0019299650258197687
