Date,Bitcoin_target_next_return
2017-12-08,0.021931171160108676
2017-12-11,0.027866079189227122
2017-12-12,-0.05957373243077235
2017-12-13,0.009450503424906387
2017-12-14,0.06672275050137522
2017-12-15,0.07647705726637533
2017-12-18,-0.07254290633921201
2017-12-19,-0.06700506450657429
2017-12-20,-0.05069001039219856
2017-12-21,-0.13322321728215947
2017-12-22,0.15183656249072186
2017-12-26,-0.01636315248910769
2017-12-27,-0.08097704981335418
2017-12-28,0.0033968323339585993
2017-12-29,0.021992661653767343
2018-01-02,0.01450508605496914
2018-01-03,0.025858428248032084
2018-01-04,0.11094452953729395
2018-01-05,-0.1388378134003485
2018-01-08,-0.038619922206656554
2018-01-09,0.025562164635523743
2018-01-10,-0.11058116741362234
2018-01-11,0.04198319183702104
2018-01-12,-0.19615001938430332
2018-01-16,-0.02662523913776127
2018-01-17,0.025266707476315986
2018-01-18,0.011480784055017068
2018-01-19,-0.06000344185662243
2018-01-22,-0.005779885423653042
2018-01-23,0.04418609725643563
2018-01-24,-0.008842259367552785
2018-01-25,-0.00784639410255572
2018-01-26,-0.10019800347570218
2018-01-30,0.011295200421317375
2018-01-31,-0.10845799638872755
2018-02-01,-0.03775622775012444
2018-02-02,-0.23874030029910465
2018-02-05,0.108709190826632
2018-02-06,-0.017261906053983367
2018-02-07,0.08115416198670111
2018-02-08,0.055463550667886
2018-02-09,0.021467611717941537
2018-02-12,-0.03746663522015048
2018-02-13,0.09916074093751703
2018-02-14,0.06836184023154956
2018-02-15,0.006617573638271423
2018-02-16,0.10823210411794726
2018-02-20,-0.06459170224791144
2018-02-21,-0.06626121098880944
2018-02-22,0.02916567969339212
2018-02-23,0.006348117057278557
2018-02-26,0.034034606098973796
2018-02-27,-0.031029470636465106
2018-02-28,0.05182687604474623
2018-03-01,0.01228839083196931
2018-03-02,0.04298153693384066
2018-03-05,-0.0710173788230346
2018-03-06,-0.07854714164884058
2018-03-07,-0.05895751127349236
2018-03-08,-0.006134788034012573
2018-03-09,-0.014284020556031507
2018-03-12,-0.0011163614975213676
2018-03-13,-0.1060320200204039
2018-03-14,0.0037476840392205446
2018-03-15,0.004506141978666278
2018-03-16,0.03445455795110419
2018-03-19,0.032243718870873295
2018-03-20,0.0017722101148152092
2018-03-21,-0.022745729727736475
2018-03-22,0.017168711059966313
2018-03-23,-0.07847888972440487
2018-03-26,-0.04692919680936569
2018-03-27,0.015384599545303246
2018-03-28,-0.10442950860100275
2018-03-29,-0.011495321590137664
2018-04-02,0.05122335284347912
2018-04-03,-0.08422475580705502
2018-04-04,-0.006201068910305807
2018-04-05,-0.02605042094133836
2018-04-06,0.020051340384091176
2018-04-09,0.009412414998555718
2018-04-10,0.019352815614150032
2018-04-11,0.12412693581038248
2018-04-12,0.000850158009713553
2018-04-13,0.020397289485947212
2018-04-16,-0.019621259128287605
2018-04-17,0.032535927574945944
2018-04-18,0.015906496489627386
2018-04-19,0.06437648463048973
2018-04-20,0.009568750776766777
2018-04-23,0.0823531991874269
2018-04-24,-0.09193210663750406
2018-04-25,0.04808821013231679
2018-04-26,-0.03223959330684423
